iter	MAE	RMSE
366	0	2.414412955e-14
367	0	2.414412955e-14
368	0	2.412476001e-14
369	0	2.41368678e-14
370	0	2.411506941e-14
371	0	2.411749242e-14
372	0	2.410537491e-14
373	0	2.429853004e-14
374	0	2.39204329e-14
375	0	2.387397354e-14
376	0	2.386173236e-14
377	0	2.386173236e-14
378	0	2.40568438e-14
379	0	2.386173236e-14
380	0	2.38421334e-14
381	0	2.38421334e-14
382	0	2.38421334e-14
383	0	2.38421334e-14
384	0	2.385438463e-14
385	0	2.383232787e-14
386	0	2.383232787e-14
387	0	2.385438463e-14
388	0	2.386173236e-14
389	0	2.385193489e-14
390	0	2.385193489e-14
391	0	2.385193489e-14
392	0	2.382251831e-14
393	0	2.382251831e-14
394	0	2.382251831e-14
395	0	2.382251831e-14
396	0	2.382251831e-14
397	0	2.382251831e-14
398	0	2.389354638e-14
399	0	2.383232787e-14
